Page,NGC,Type,1951.0+2304,Mag.,Size,Coord.,Description
,2372,PN,Gem,9.5,47x43,0725.6+2930,elongated off-white part ot 2371
,2392,PN,Gem,9.3,47x43,0729.2+2055,small round bluish opaque
,2395,OC,Gem,9.4,12,0727.1+1335,faint elus rich scattered
,2420,OC,Gem,10.2,7,0738.5+2134,20 stars some nebulosity
3,6207,G,Her,11.3,2x1.1,1643.1+3650,sp oval elusive near M13 difficult
2,6229,GC,Her,8.7,1.2,1647.0+4732,faint oval brt central area
,2548,OC,Hya,5.3,30,0813.8-0548,M48
,2811,G,Hya,11.7,1.6x.5,0916.2-1619,sp uniform brightness
,3242,PN,Hya,9,40x34,1024.8-1838,nice disk blue-green fairlylarge
,3621,G,Hya,10.5,5x2,1118.3-3249,sp lg round near some field star
,5694,GC,Hya,11,2.2,1439.6-2632,small fuzzy smudge  brt nucleus
,7209,OC,Lac,6.7,20,2205.2+4630,50 stars bright rich resolvable
,7243,OC,Lac,6.4,20,2215.3+4953,50 stars loose scattered
,7296,OC,Lac,9.4,4,2228.2+5217,15 stars compact elusive
,2903,G,Leo,9.1,11x4.6,0932.2+2130,sp lg elong needle easy
,2964,G,Leo,11,2.2x1.1,0942.9+3151,sp round brt nucleus faint rim
,3190,G,Leo,11.3,3x1,1018.1+2150,sp fuzzy round same field 3193
,3193,G,Leo,11.5,.9x.0,1018.4+2154,el fuzzy roundish uniform c 3190
,3226,G,Leo,11.5,1x.8,1023.4+1954,el round nebulous uniform
,3227,G,Leo,11.4,3x1.2,1023.5+1952,sp round nebulous near NGC 3226
,3377,G,Leo,10.5,1.9x1,1047.7+1359,el small brt nucleus
,3379,G,Leo,9.5,2.2x2,1047.8+1235,el M105
,3384,G,Leo,10.2,4.4x1.4,1048.3+1238,el round brt nucleus >NGC 3379
,3412,G,Leo,10.4,2.4x1.1,1050.9+1325,el circular very difficult
,3489,G,Leo,11.5,2x.9,1100.3+1354,el round impressive brt nucleus
,3521,G,Leo,10.5,7x4,1105.8+0002,sp elongated very impressive
,3593,G,Leo,11.3,2.5x.9,1114.6+1249,sp round faint inconspicious
,3607,G,Leo,9.6,1.7x1.5,1116.9+1803,el like a hairy star round brt
,3608,G,Leo,11.1,1.4x1,1117.0+1809,el round small same field 3607
,3626,G,Leo,10.5,1.6x1.1,1120.1+1821,sp starlike brt nucleus v small
,3628,G,Leo,10.9,12x1.5,1120.3+1336,sp edge-on large beautiful
,3640,G,Leo,10.7,1.1x1,1121.1+0314,el round small faint near a star
,3655,G,Leo,11.3,1.2x.9,1122.9+1635,sp small fuzzy round faint
,3686,G,Leo,11.4,2.4x1.8,1127.7+1713,sp strlike brt nucleus nebulosit
,3810,G,Leo,10.8,3.6x2.5,1141.0+1128,sp sl lg brt nucleus
,3900,G,Leo,11.5,1.7x.8,1149.2+2701,sp starlike sl neb near 3912
,3912,G,Leo,11.5,.9x.5,1150.1+2629,sp small round uniform near 3900
,1964,G,Lep,11.6,5.4x1.1,0533.4-2157,sp sl elongation nucleus visible
,5897,GC,Lib,11,7.3,1517.4-2101,oval partly resolved elusive
,2859,G,LMi,10.7,4.4x3.5,0924.3+3431,Bsp brt nucleus fainter arm
